country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Narela, Delhi - DPCC","29-08-2025 13:00:00",28.822836,77.101981,NH3,2,13,5
India,Delhi,Delhi,"Narela, Delhi - DPCC","29-08-2025 13:00:00",28.822836,77.101981,SO2,2,8,6
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","29-08-2025 13:00:00",28.5512005,77.2735737,OZONE,14,51,17
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","29-08-2025 13:00:00",28.656756,77.227234,NO2,NA,NA,NA
India,Delhi,Delhi,"DTU, Delhi - CPCB","29-08-2025 13:00:00",28.7500499,77.1112615,CO,16,25,19
India,Delhi,Delhi,"DTU, Delhi - CPCB","29-08-2025 13:00:00",28.7500499,77.1112615,OZONE,26,35,27
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","29-08-2025 13:00:00",14.816666,74.141003,CO,7,9,8
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","29-08-2025 13:00:00",12.415911,75.735050,PM10,9,27,17
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","29-08-2025 13:00:00",12.415911,75.735050,SO2,7,7,7
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","29-08-2025 13:00:00",12.889250,74.853000,NH3,2,3,2
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","29-08-2025 13:00:00",12.889250,74.853000,SO2,6,7,7
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","29-08-2025 13:00:00",12.21041,76.37376,PM2.5,7,23,14
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","29-08-2025 13:00:00",12.21041,76.37376,OZONE,6,46,21
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","29-08-2025 13:00:00",12.733409,77.298051,PM10,8,26,15
